qid,n_hits,n_relevant_qrel,n_relevant_in_hits,best_rank,found_in_top_k
1000122,1000,1,1,23.0,True
1000211,1000,1,1,4.0,True
1000255,1000,1,1,1.0,True
1000421,1000,1,1,7.0,True
1000541,1000,1,1,7.0,True
1000747,1000,1,1,1.0,True
1000769,1000,1,1,1.0,True
1000826,1000,1,1,4.0,True
1000870,1000,1,1,77.0,True
1000889,1000,1,0,,False
1000963,1000,1,1,63.0,True
1000964,1000,1,0,,False
1001053,1000,1,1,477.0,True
1001055,1000,1,1,127.0,True
1001082,1000,1,1,274.0,True
1001093,1000,1,1,3.0,True
100133,1000,1,1,1.0,True
100139,1000,1,1,3.0,True
1001619,1000,1,1,13.0,True
1001842,1000,1,1,1.0,True
1001862,1000,1,1,2.0,True
1001864,1000,1,1,20.0,True
1002031,1000,1,0,,False
1002118,1000,1,1,3.0,True
1002227,1000,1,1,7.0,True
1002431,1000,1,1,1.0,True
1002769,1000,1,1,16.0,True
1002790,1000,1,1,68.0,True
1002819,1000,1,1,13.0,True
1002944,1000,1,1,4.0,True
1002996,1000,1,0,,False
1003038,1000,1,1,53.0,True
1003181,1000,1,1,4.0,True
1003286,1000,1,1,5.0,True
1003460,1000,1,1,23.0,True
1003468,1000,1,1,10.0,True
1003678,1000,1,1,146.0,True
1003686,1000,1,0,,False
1003812,1000,1,1,4.0,True
1003873,1000,1,1,13.0,True
1003878,1000,1,1,1.0,True
1003999,1000,1,1,1.0,True
1004060,1000,1,1,32.0,True
1004066,1000,1,0,,False
1004120,1000,1,1,351.0,True
1004210,1000,1,1,4.0,True
1004285,1000,1,1,4.0,True
1004473,1000,1,1,52.0,True
1004539,1000,1,1,62.0,True
1004556,1000,1,1,347.0,True
1004579,1000,1,1,3.0,True
1004639,1000,1,1,1.0,True
1004694,1000,1,1,23.0,True
1004864,1000,1,1,1.0,True
1005106,1000,1,1,6.0,True
1005122,1000,1,1,17.0,True
1005142,1000,1,1,16.0,True
1005187,1000,1,1,15.0,True
100522,1000,1,1,2.0,True
1005286,1000,1,1,665.0,True
1005290,1000,1,1,58.0,True
10053,1000,2,2,5.0,True
1005311,1000,1,1,321.0,True
1005317,1000,1,1,47.0,True
1005400,1000,1,1,36.0,True
1005503,1000,1,1,341.0,True
1005593,1000,1,1,26.0,True
1005691,1000,1,1,733.0,True
1005839,1000,1,1,1.0,True
1005957,1000,1,1,1.0,True
1006145,1000,1,1,244.0,True
1006266,1000,1,0,,False
100646,1000,2,2,103.0,True
1006708,1000,1,1,533.0,True
1006743,1000,1,1,1.0,True
1006933,1000,1,0,,False
1006950,1000,1,1,32.0,True
1006993,1000,1,1,25.0,True
10071,1000,1,1,1.0,True
1007191,1000,1,1,541.0,True
1007192,1000,1,1,136.0,True
1007252,1000,1,1,2.0,True
1007302,1000,1,1,4.0,True
1007316,1000,1,1,127.0,True
1007622,1000,1,1,16.0,True
100770,1000,1,1,1.0,True
1007841,1000,1,1,5.0,True
1007940,1000,1,1,10.0,True
1007969,1000,1,1,22.0,True
1007974,1000,1,1,462.0,True
1007985,1000,1,1,2.0,True
1008059,1000,1,1,12.0,True
1008139,1000,1,1,1.0,True
1008142,1000,1,1,1.0,True
1008157,1000,1,0,,False
100827,1000,1,1,2.0,True
1008382,1000,1,1,611.0,True
1008420,1000,1,1,2.0,True
1008444,1000,1,0,,False
1008800,1000,1,1,44.0,True
1008882,1000,1,1,10.0,True
1009055,1000,1,1,291.0,True
1009103,1000,1,1,19.0,True
100942,1000,1,1,73.0,True
1009611,1000,1,1,3.0,True
1009717,1000,1,1,58.0,True
1009721,1000,1,0,,False
1009756,1000,2,2,2.0,True
1010029,1000,1,1,10.0,True
1010053,1000,1,1,447.0,True
1010061,1000,1,1,11.0,True
1010185,1000,1,1,66.0,True
1010212,1000,1,1,309.0,True
1010485,1000,1,1,1.0,True
1010643,1000,1,1,59.0,True
1010646,1000,1,1,54.0,True
1010719,1000,1,1,2.0,True
1010732,1000,1,0,,False
